text,label,label_text
i placed a cheque but the funds aren't there,6,balance_not_updated_after_cheque_or_cash_deposit
can i use american express with apple pay? why does it make my top up not work?,2,apple_pay_or_google_pay
i have tried sending a standard transfer five times and it hasn't gone through. what is the problem?,35,failed_transfer
tell me what atms use this card.,3,atm_support
"as advised by you, i requested seller to refund my money. a week has passed but i haven't got any update from seller. please track the refund with the seller.",51,Refund_not_showing_up
why haven't i gotten a virtual card yet?,40,getting_virtual_card
someone stole my wallet with my card in it while vacationing in spain. i really need my card blocked and a new one ordered.,41,lost_or_stolen_card
i already got my item but just got my money back,53,reverted_card_payment?
"i need to transfer some money, can i use my credit card?",62,topping_up_by_card
i need to renew a card that's about to expire,9,card_about_to_expire
"i forgot my phone at the hotel, so i can't access the app.",42,lost_or_stolen_phone
"i would like to top up via credit card, which credit cards do you support?",54,supported_cards_and_currencies
i can't get a contactless payment to work.,23,contactless_not_working
what are your exchange rates calculated from?,32,exchange_rate
when will it get delivered?,12,card_delivery_estimate
can i add money automatically to my account while traveling?,4,automatic_top_up
i want to open an account for my children,1,age_limit
where can i find out where my funds came from?,70,verify_source_of_funds
is there a frequent currency discount?,31,exchange_charge
how come my card doesn't work anymore?,14,card_not_working
why do i have a failed transfer,35,failed_transfer
what is the atmosphere of it,10,card_acceptance
what are the benefits of a disposable card?,37,get_disposable_virtual_card
is my country's currency supported by your system?,36,fiat_currency_support
does the exchange rate change each day for purchases? there is a different rate on my purchase.,17,card_payment_wrong_exchange_rate
would reinstalling the app solve the problem?,23,contactless_not_working
how can i get a virtual card for a one-time transaction?,37,get_disposable_virtual_card
what's the time frame on eu transfers? i purchased something a couple of days ago but the seller hasn't received my payment.,48,pending_transfer
is there a way i can have a mastercard?,73,visa_or_mastercard
i see i was charged $1 for a transaction.,34,extra_charge_on_statement
i received my new card. where is it in the app?,13,card_linking
"i need to activate my card, how is that done?",0,activate_my_card
what exchange rates do you use?,32,exchange_rate
i tried to get some money but the machine was not working .the transaction still seems in progress! can you please check what's going on.i don't want to be charged for money that i did not received.,46,pending_cash_withdrawal
my card is missing. please help.,41,lost_or_stolen_card
my app is showing a cash balance that i did not receive.,20,cash_withdrawal_not_recognised
how can i get a visa and mastercard?,73,visa_or_mastercard
i am having trouble transferring money to a beneficiery.,7,beneficiary_not_allowed
i think someone is using my card without my permission!,22,compromised_card
how long will a transfer from europe take?,67,transfer_timing
are there directions to get a new passcode if i forgot mine?,44,passcode_forgotten
i think i lost my phone. is there a way to prevent anyone from getting into my account on it?,42,lost_or_stolen_phone
can i use this app for any currency?,54,supported_cards_and_currencies
am i charged for receiving money?,56,top_up_by_bank_transfer_charge
tell me what i need to do to activate my card.,0,activate_my_card
i want to top up by card,62,topping_up_by_card
how do i activate my new card i just got?,0,activate_my_card
is it possible to top-up with google pay.,2,apple_pay_or_google_pay
please help me regarding a direct debit in the app that i don't recognize.,28,direct_debit_payment_not_recognised
what can i do to make my physical card work?,14,card_not_working
how do i find the code needed in order to verify my top-up card?,71,verify_top_up
can i get more cards just incase?,39,getting_spare_card
i did a cash deposit to my account but it doesn't show up,6,balance_not_updated_after_cheque_or_cash_deposit
what is the price for an additional card?,39,getting_spare_card
"i recently deposited some money into my account, but it still isn't showing up. what's going on?",6,balance_not_updated_after_cheque_or_cash_deposit
i couldn't transfer to an account.,7,beneficiary_not_allowed
what atms will allow me to change my pin?,21,change_pin
can i get a refund on an item?,52,request_refund
my cash withdrawal isnt showing on my account,46,pending_cash_withdrawal
i believe that my transfer hasn't gone through.,35,failed_transfer
how do you decide what your exchange rates are?,32,exchange_rate
is it possible for me to change my pin number?,21,change_pin
how is my money transferred to the account,65,transfer_into_account
why did my top-up fail?,59,top_up_failed
how can i obtain a virtual card?,40,getting_virtual_card
will i have to wait much longer for my new card to arrive?,11,card_arrival
how long will i have to wait for my new card?,12,card_delivery_estimate
can i use a different currency with my salary?,50,receiving_money
"can my daughter also have a card issued in her name, but linked to my account?",39,getting_spare_card
i would like to cancel my previous purchase.,52,request_refund
did my transfer fail?,35,failed_transfer
i haven't been sent my new pin!,38,get_physical_card
my card was frozen due to putting in the wrong pin too much. how many tries do i have,26,declined_cash_withdrawal
where has my transferred money gone?,66,transfer_not_received_by_recipient
does the app top up automatically?,4,automatic_top_up
"i'm trying to make a payment to my new landlord. even though the payment was sent a few days ago, it isn't clearing on their side. can you verify that payment has been made?",66,transfer_not_received_by_recipient
i have been double charged,63,transaction_charged_twice
the check i deposited yesterday isn't listed yet. isn't that pretty slow? i need to see the balance increased by that check.,6,balance_not_updated_after_cheque_or_cash_deposit
where can i find out how to transfer money into my account.,65,transfer_into_account
"everything seems fine with my account, so why did it decline my payment?",25,declined_card_payment
can you let me know why my cash withdrawal is still pending?,46,pending_cash_withdrawal
why don't you accept american express for adding money to my account,54,supported_cards_and_currencies
how to get new card?,23,contactless_not_working
you've incorrectly calculated the exchange rate for my cash withdrawal,76,wrong_exchange_rate_for_cash_withdrawal
please specify any limitations that come along with disposable cards.,29,disposable_card_limits
the atm won't give me my card back. i need it back now!,18,card_swallowed
can i exchange currencies with the app?,33,exchange_via_app
where is the tracking number for the card?,11,card_arrival
i didn't make this payment and it's on my app,16,card_payment_not_recognised
i moved and would like to change my address.,30,edit_personal_details
"i had everything lined up to make a transfer, and then it rejected it.",27,declined_transfer
can you tell my why my funds transfer did not work properly?,35,failed_transfer
i need a visa card,73,visa_or_mastercard
how to get new card after atm eats it,18,card_swallowed
how many disposable virtual cards can you have?,29,disposable_card_limits
i lost my phone. what do i need to do?,42,lost_or_stolen_phone
i can't use the app because i got mugged yesterday and they took everything. i need some help.,42,lost_or_stolen_phone
i want to open an account for my child.,1,age_limit
"for god sake, just delete my account i am sick of this",55,terminate_account
how can i receive my salary with a different currency?,50,receiving_money
"i am blocked now because i entered the wrong pin, need help.",49,pin_blocked
why hasn't my balance been updated from the check deposit i made?,6,balance_not_updated_after_cheque_or_cash_deposit
my atm withdrawal was declined.,26,declined_cash_withdrawal
where do i go to change my account details?,30,edit_personal_details
the exchange rate applied is wrong for my international purchase.,17,card_payment_wrong_exchange_rate
what should i do if someone else used my card?,22,compromised_card
do you have a list of businesses that accept this card?,10,card_acceptance
why didn't the money i transferred into my account get added to my balance?,5,balance_not_updated_after_bank_transfer
how do i add a new card?,13,card_linking
can i receive payments in another currency?,50,receiving_money
i can't use the app. my phone is lost at the hotel.,42,lost_or_stolen_phone
how long will this take to get to me?,12,card_delivery_estimate
why was there an extra charge because i used my card to pay?,15,card_payment_fee_charged
can you tell me what the exchange fee is?,31,exchange_charge
i can't remember my password.,44,passcode_forgotten
"who do i talk to, to cancel a transfer?",8,cancel_transfer
i tried entering my pin several times incorrectly. why isn't my pin working?,49,pin_blocked
how long does it typically take for a pending atm withdrawal to clear?,46,pending_cash_withdrawal
what steps do i need to do to delete my account?,55,terminate_account
do you have a tracking number for the card i was sent?,11,card_arrival
my salary comes in gbp can i change my options somewhere?,50,receiving_money
why isn't my disposable virtual card working?,72,virtual_card_not_working
are cards delivered to my location?,43,order_physical_card
what fees to you have for top ups?,57,top_up_by_card_charge
i was charged twice for a few things this week when i only bought one. what do i do?,63,transaction_charged_twice
i was unable to transfer money to a beneficiary.,7,beneficiary_not_allowed
i transferred money but the balance hasn't changed.,5,balance_not_updated_after_bank_transfer
"how long do transfers take, mine just says pending?",48,pending_transfer
why is my deposit still pending?,6,balance_not_updated_after_cheque_or_cash_deposit
i'm not sure how to complete the identity checks process.,69,verify_my_identity
i have no idea why there is a dollar that has been charged to my account.,34,extra_charge_on_statement
"what, if any, is the limit for auto top-up?",4,automatic_top_up
i am seeing in the app a some cash withdrawal that i did not do,20,cash_withdrawal_not_recognised
can i use my card no matter where i go?,10,card_acceptance
what is the fee for a foreign currency exchange?,31,exchange_charge
please explain how disposable virtual card work.,37,get_disposable_virtual_card
when is a payment i made with my card going to clear>,45,pending_card_payment
"hi, during online shopping payment is getting declined yesterday and today as well. please check the issue.",27,declined_transfer
i wasn't charged the correct exchange rate for an item i purchased.,17,card_payment_wrong_exchange_rate
why is the cash withdrawal under pending?,46,pending_cash_withdrawal
"i need to order a new card, can you please direct me to the virtual cards?",40,getting_virtual_card
i wasn't able to withdraw money at an atm,26,declined_cash_withdrawal
i can't get my virtual card to work.,72,virtual_card_not_working
i'd prefer to use my american express when putting funds into my account.,54,supported_cards_and_currencies
where do i scan my card?,13,card_linking
can i have multiple currencies in my account?,36,fiat_currency_support
"i'd rather not use my physical card, how can i get a virtual card?",40,getting_virtual_card
how do i set up auto top-up?,4,automatic_top_up
"my wallet isn't showing my top-up, did i do something wrong?",62,topping_up_by_card
is there an auto top up option?,4,automatic_top_up
will this app allow me to exchange currencies?,33,exchange_via_app
where can i find the top up verification code?,71,verify_top_up
"can you please assist me in apple pay, in getting top up to work?",2,apple_pay_or_google_pay
i can't verify my id. why?,68,unable_to_verify_identity
what systems do you have in place for my security when using my card for everyday purchases?,37,get_disposable_virtual_card
what should i do once my card expires?,9,card_about_to_expire
"hello, i have tried using crypto top up but it is not working. i had some money in my account but i'm not sure what happened",61,top_up_reverted
with my credit card i would like to transfer money.,62,topping_up_by_card
"hello, just now i got to know withdrawal of money from of my account. as someone used my card to withdraw amount in any odd remote area. since i have not been in that area, please freeze my card immediately.",20,cash_withdrawal_not_recognised
what is the best way to get my virtual card?,40,getting_virtual_card
i wish to be able to top up with cash.,58,top_up_by_cash_or_cheque
i did not get enough cash,75,wrong_amount_of_cash_received
someone has been using my card. there are unfamiliar transactions on there. can you freeze the card to keep this from happening?,22,compromised_card
"this morning i wanted to make a withdrawal before work, but my card was declined! please double check it for me as this is the first time it was declined.",26,declined_cash_withdrawal
i got less cash than what i specified for through the atm.,75,wrong_amount_of_cash_received
can you tell me where i can withdraw money?,3,atm_support
the app is having trouble verifying my identity.,68,unable_to_verify_identity
how about disposable virtual cards?,37,get_disposable_virtual_card
is it possible to order a virtual card?,40,getting_virtual_card
"you can do that in just a few seconds. go to account, hit activate, and follow the directions from there.",0,activate_my_card
i have cancelled payments to this card.,53,reverted_card_payment?
the machine didn't work earlier when i went to get money out and now my account says transaction in progress.why?,46,pending_cash_withdrawal
i am having an issue with an in country transfer i did a few days ago. it has yet to appear in my account. i have checked to be sure that all account information is correct multiple times. what is taking the transfer so long?,66,transfer_not_received_by_recipient
how do i use disposable cards?,37,get_disposable_virtual_card
where is my cash deposit in my balance?,6,balance_not_updated_after_cheque_or_cash_deposit
someone besides me might be using my card.,22,compromised_card
i made a transfer into my account and now i need to cancel it,8,cancel_transfer
why has a transaction to a friend been delayed?,66,transfer_not_received_by_recipient
please cancel the transfer i just made. i put in the wrong account number and can't seem to stop it on the app.,8,cancel_transfer
unhappy with service need to delete account,55,terminate_account
what age do you have to be to open an account?,1,age_limit
could you please tell me your exchange rates?,32,exchange_rate
"it's been more than a week since i had a return charged to my card, why hasn't it showed up?",51,Refund_not_showing_up
can i get paid for this in another currency?,50,receiving_money
i'm being asked for a verification code. where do i find it?,71,verify_top_up
i got less cash than what i specified at the atm.,75,wrong_amount_of_cash_received
am i able to use my account if the identity verification is not complete?,74,why_verify_identity
i'm not verifying my identity.,74,why_verify_identity
how can i know where my card will be accepted?,10,card_acceptance
what do i do if i have exceeded all my pin tries?,49,pin_blocked
help me unblock my pin.,49,pin_blocked
i have forgotten my passcode,44,passcode_forgotten
what's the process for topping up my card?,62,topping_up_by_card
can i use this card at any atm?,3,atm_support
"good day, in reviewing my credit card activity over the last several days, i see a repeated charge for a restaurant that i went to. the charge was put through twice, so i would like one of the charges corrected and the amount that was withdrawn to be reinstated please.",63,transaction_charged_twice
is there a reason why my card was declined when i attempted to withdraw money?,26,declined_cash_withdrawal
i just replaced my phone but how do i use my card information?,42,lost_or_stolen_phone
"hello, in these holidays i have been overcharged on the amount i have withdrawn on one of your atms. i did not had any clue about the horrible charges otherwise i would not have withdrawn.",76,wrong_exchange_rate_for_cash_withdrawal
"i was overcharged at an atm while on vacation. i needed cash so i had to use it, but your charges are outregous and i wish i would have known beforehand.",76,wrong_exchange_rate_for_cash_withdrawal
how are the exchange rates determined?,32,exchange_rate
is there a fee to add money to an international card?,57,top_up_by_card_charge
"i have checked the account information several times to be sure that it is correct, but the in country transfer i did a few days ago still has not appeared! what is the hold up?",66,transfer_not_received_by_recipient
i have a direct debit on my records that is strange and i need help.,28,direct_debit_payment_not_recognised
i found a charge on my debit that i did not make.,28,direct_debit_payment_not_recognised
"hi, can you tell me why my transfer keeps being rejected? i've been trying to send money to my friends this morning but failed every time and i have no idea why?",35,failed_transfer
why are the things i bought earlier today still showing as pending?,45,pending_card_payment
is there a fee for topping off a us card?,57,top_up_by_card_charge
can i add money to my card automatically during a trip?,4,automatic_top_up
can i add a new currency to my account?,33,exchange_via_app
i believe that my card has been stolen!,41,lost_or_stolen_card
i'm at the atm right now and it only allowed me to withdraw 10 pounds instead of my requested 30. what's going on? how can i fix this?,75,wrong_amount_of_cash_received
how can i top up my card with another card?,54,supported_cards_and_currencies
can i order a card please?,43,order_physical_card
"while getting cash, i was charged a fee.",19,cash_withdrawal_charge
where do i go to transfer money from one account to this one,65,transfer_into_account
i can't get google pay to work right.,2,apple_pay_or_google_pay
it seems i need to get information on limits for top-ups.,60,top_up_limits
is there a charge for exchanging foreign currency?,31,exchange_charge
i don't need to transfer anymore and i want to cancel it.,8,cancel_transfer
are there any restrictions to where i can use my card?,10,card_acceptance
what is going on with my cash withdrawal? the exchange rate is wrong,76,wrong_exchange_rate_for_cash_withdrawal
why do you need so much id info from me?,74,why_verify_identity
will i be able to track the card that was sent to me?,11,card_arrival
help! i lost my card!,41,lost_or_stolen_card
why does a cash withdrawal show as pending?,46,pending_cash_withdrawal
the money i transferred didnt arrive,66,transfer_not_received_by_recipient
how is the current exchange rate?,32,exchange_rate
can i change my pin without going to a bank branch?,21,change_pin
i messed up a transfer and need to reverse it.,8,cancel_transfer
you provide support in what countries?,24,country_support
where do i go to see the source of my available money?,70,verify_source_of_funds
i want to transfer some money from my other bank account into this one.,65,transfer_into_account
what cash stations take this card?,3,atm_support
i don't know what this direct debit payment on my account is for.,28,direct_debit_payment_not_recognised
"if i need an additional card, is there a fee for that?",39,getting_spare_card
how long will a transfer from the us take?,67,transfer_timing
how can i transfer money into my account?,65,transfer_into_account
"for a week now, i have tried to use my card and it is still not working.",14,card_not_working
"i'm looking at my statement, and my refund is not on there.",51,Refund_not_showing_up
tell me why my topup wouldn't go through?,59,top_up_failed
am i able to get a refund for a purchase?,52,request_refund
a receiver let me know that they didn't receive the full transfer i completed and that it was actually a bit less than what i sent. at this point i have to make another transfer to make up for the amount missing. can you please follow up with what's going on here?,64,transfer_fee_charged
"help! i fear that my card was stolen,",41,lost_or_stolen_card
can i add money in intervals to my account? i will be traveling.,4,automatic_top_up
somebody is taking money out of my account without my approval in another town separate from me. please place a freeze on my account until i can make it to the bank.,20,cash_withdrawal_not_recognised
i believe my top up was reverted.,61,top_up_reverted
what does the bank charge for lost or stolen card replacements?,43,order_physical_card
"i tried to make a top-up and it was canceled, why is that?",61,top_up_reverted
there is a transfer pending.,48,pending_transfer
how do i top-up automatically?,4,automatic_top_up
where do i pay with my card?,10,card_acceptance
i would like to receive instructions showing the verification process for top up cards..,71,verify_top_up
what's the limit to how much i can top up?,60,top_up_limits
"there's a payment with my card that i definitely didn't do myself, never seen that name before.",16,card_payment_not_recognised
please tell me how to edit my personal details.,30,edit_personal_details
can i top up my account with a check?,58,top_up_by_cash_or_cheque
i paid with card and was charged a fee that shouldn't be there!,15,card_payment_fee_charged
what to do if my card has been used without my permission?,22,compromised_card
what is the process to change my pin?,21,change_pin
please tell me how i verify my identity.,69,verify_my_identity
i need to freeze my card as soon as possible. i just checked my account and saw that there have been several payments that i don't recognize over the course of a few days. can we investigate and get my money back?,16,card_payment_not_recognised
"changed details is essential, what steps do i take to do so?",30,edit_personal_details
i paid with card and i was charged a fee,15,card_payment_fee_charged
can i set it up to add money every few days automatically while i am traveling?,4,automatic_top_up
i had an unexpected fee,64,transfer_fee_charged
how much will it cost me for a sepa transfer?,56,top_up_by_bank_transfer_charge
i cannot get my virtual card to function.,72,virtual_card_not_working
"hey, i tried to withdraw some cash earlier and it's saying it's pending? will i be charged for this?",46,pending_cash_withdrawal
i prefer mastecard.,73,visa_or_mastercard
"i thought i left my card at a restaurant, but they claim not to have it and now i don't have any idea where it is. i'm so worried that someone might be using it fraudulently. is there any way to look into this?",41,lost_or_stolen_card
are their certain cash machines where i can change my pin?,21,change_pin
i need info on activating my card?,0,activate_my_card
"it looks like someone besides me ordered something with my card, what should i do?",22,compromised_card
why was my top-up rejected?,59,top_up_failed
it is urgency. please freeze my card now. as someone in some odd remote town has withdrawn some money by using my card. as i did not withdraw any money.,20,cash_withdrawal_not_recognised
"if my account is low in funds, can i set an auto top-up?",4,automatic_top_up
can i top-up any amount i wish on any given day?,60,top_up_limits
why is my beneficiary not working?,7,beneficiary_not_allowed
one of my transactions needs to be canceled.,8,cancel_transfer
how long will i have to wait for my money to be in my account?,67,transfer_timing
why did i not get the amount of money i requested?,75,wrong_amount_of_cash_received
supported countries,24,country_support
how does a disposable virtual card work?,37,get_disposable_virtual_card
will i get charged on a foreign currencies exchange?,31,exchange_charge
my purchases from this morning still have pending payments.,45,pending_card_payment
"i tried using a virtual card for a hotel but it didn't work, why not",29,disposable_card_limits
can you tell me why my card is not working? i keep trying to use it but it keeps rejecting my payment. i am being careful and entering the info correctly but it still happens.,25,declined_card_payment
it's been a week since you issued me a card and i still didn't get it. should i keep waiting?,11,card_arrival
can my job deposit my wages directly into the account.,50,receiving_money
i topped up my account but the app failed to process it.,59,top_up_failed
how can i request cash back? the atm just gave me a different amount than what i've been actually charged though...,75,wrong_amount_of_cash_received
i can't see my refund in my history.,51,Refund_not_showing_up
what is the minimum age required to open an account with your service?,1,age_limit
why would my card payment not work?,25,declined_card_payment
please provide me with the restrictions of the disposable cards.,29,disposable_card_limits
there is a pending 1£ charge on my statement. i haven't purchased anything for 1£. why is it on my statement?,34,extra_charge_on_statement
"it says that my payment is pending, what does that mean?",45,pending_card_payment
please tell me the types of currency i can hold.,36,fiat_currency_support
exchanging currencies costs what?,31,exchange_charge
tell me how a top up would be reverted.,61,top_up_reverted
how is the pin delivered?,38,get_physical_card
how can i go about getting a disposable virtual card?,37,get_disposable_virtual_card
"i need to delete my account, please.",55,terminate_account
help me order my card.,43,order_physical_card
"i have been double charged for a couple of things this week, and would appreciate a refund for the duplicate charges.",63,transaction_charged_twice
how do i change my card pin?,21,change_pin
today i was out eating and my card was declined. why's that?,14,card_not_working
why have i got a pending transfer? i'm confused!!,48,pending_transfer
i was wondering if you will take any fees in exchange for top ups?,57,top_up_by_card_charge
is there a top-up fee if you add money in usd?,57,top_up_by_card_charge
why did my card payment get declined?,25,declined_card_payment
is exchanging currencies a feature of the app?,33,exchange_via_app
where is my virtual card?,40,getting_virtual_card
"could you refund my transaction, i paid it into the wrong account. i need to be able to pay it into the right account by tomorrow.",8,cancel_transfer
it can take between 10 minutes to an hour before you hear back from us about the verification result. please try again if your verification fails. make sure you double check that images are clear and all document photos are readable without blur or glare. you have to be 18 or older and live in the european economic area or live in switzerland to be able to open an account.,68,unable_to_verify_identity
i am out of money in my account and i was wondering if i could do a bank transfer is put more in it?,65,transfer_into_account
i would like a card please.,43,order_physical_card
what fiat currencies are used for exchange?,36,fiat_currency_support
"to deliver to the us, how long will it take?",12,card_delivery_estimate
with what can i verify my identity?,69,verify_my_identity
is my card payment reverted?,53,reverted_card_payment?
can i tell what business will take this card?,10,card_acceptance
my transfer's stuck on pending.,48,pending_transfer
how long does a transfer take to reach one's account.,67,transfer_timing
i want a physical card,43,order_physical_card
i can still see money in my account after making a payment,5,balance_not_updated_after_bank_transfer
i was charged a fee when buying stuff with my card.,15,card_payment_fee_charged
why have i not got my new card?,11,card_arrival
my last name has changed and i need to update my account details.,30,edit_personal_details
top up cancellation,61,top_up_reverted
i want to choose a new pin.,21,change_pin
can i change my name? i am not married.,30,edit_personal_details
i am not satisfied with your service. close my account.,55,terminate_account
can i do more than 10 transactions with a disposable card?,29,disposable_card_limits
are there any exchange fees,31,exchange_charge
where is this card accepted?,10,card_acceptance
how do you do currency exchanges?,32,exchange_rate
is it possible to track the card you sent me?,11,card_arrival
why can i not get cash from the atm?,26,declined_cash_withdrawal
why was i charged for withdrawing cash?,19,cash_withdrawal_charge
for some reason my card payment didn't work,25,declined_card_payment
are there any limits to were my card is accepted?,10,card_acceptance
my actual card isn't functioning.,14,card_not_working
the atm keeps declining my transaction . i tried two different atms already can you please check if everything is okay with my account?,26,declined_cash_withdrawal
"i initiated a payment a while ago and it is still showing as ""pending"", how long will it take to clear?",45,pending_card_payment
why is the payment on my card still pending?,45,pending_card_payment
can you tell me how to tell where my funds come from?,70,verify_source_of_funds
what should i do if i have used all of my pin tries?,49,pin_blocked
i think someone has hacked my card!,22,compromised_card
show me how to top up,62,topping_up_by_card
how do i create a disposable virtual card?,37,get_disposable_virtual_card
what retailers accept my card?,10,card_acceptance
what is this extra charge for a withdrawal?,19,cash_withdrawal_charge
"my phone is lost i don't want someone to use my account, what can i do?",42,lost_or_stolen_phone
"i want to link to my card card with you, how?",13,card_linking
why does my statement show various transaction times?,63,transaction_charged_twice
"i received my american express in apple pay, why is top up not working?",2,apple_pay_or_google_pay
when i tried to pay in a store my card din't work,25,declined_card_payment
use my credit to add money,54,supported_cards_and_currencies
how do i know if my top up worked?,59,top_up_failed
what is the formula for your exchange rate?,32,exchange_rate
why can't a beneficiary receive a money transfer from me?,7,beneficiary_not_allowed
how do i make sure my transfer isn't goin to an unsupported merchant?,27,declined_transfer
"hi, i checked my transactions and saw that i was charged twice during a restaurant visit. i would like to get my money back.",63,transaction_charged_twice
i got charged a fee that shouldn't be there from my cash,19,cash_withdrawal_charge
i have a new phone number and need to edit my contact information.,30,edit_personal_details
let me know how many disposable cards i can have?,29,disposable_card_limits
can i use my card while on vacation overseas?,10,card_acceptance
how can i get funds into my account from my american express?,54,supported_cards_and_currencies
i just lost my wallet and i think someone is using my card to withdraw my money. can you please cancel or freeze my card?!!,20,cash_withdrawal_not_recognised
my funds must be verified,70,verify_source_of_funds
i need to find the card i received in the app.,13,card_linking
my top up card needs verification and i don't know how to do it,71,verify_top_up
why have i been charged twice?,63,transaction_charged_twice
